"Dataset","Xval Accuracy","Xval Precision","Xval F1 Score","Xval Recall","Xval Aggregate","Test Set Accuracy","Test Set Precision","Test Set F1 Score","Test Set Recall","Test Set Aggregate","Train Time"
"ds4 (Unmodified)",0.885,0.871,0.827,0.799,0.846,0.845,0.803,0.765,0.743,0.789,154.79517817497253
"ds4 (kmeans_replace)",0.760,0.380,0.432,0.500,0.518,0.760,0.380,0.432,0.500,0.518,4.357971906661987
"ds4 (kmeans_augment)",0.893,0.861,0.849,0.838,0.860,0.843,0.788,0.777,0.767,0.794,123.55614233016968
"ds4 (gmm_replace)",0.760,0.380,0.432,0.500,0.518,0.760,0.380,0.432,0.500,0.518,4.239794015884399
"ds4 (gmm_augment)",0.893,0.862,0.847,0.834,0.859,0.844,0.790,0.777,0.766,0.794,176.12755227088928
"ds1 (Unmodified)",0.815,0.834,0.791,0.778,0.804,0.798,0.814,0.773,0.761,0.787,703.2312424182892
"ds1 (kmeans_replace)",0.712,0.698,0.684,0.680,0.694,0.711,0.698,0.683,0.679,0.693,148.82971048355103
"ds1 (kmeans_augment)",0.817,0.843,0.792,0.779,0.808,0.794,0.811,0.766,0.755,0.781,1071.3382034301758
"ds1 (gmm_replace)",0.710,0.696,0.682,0.678,0.692,0.710,0.696,0.682,0.677,0.691,110.46521997451782
"ds1 (gmm_augment)",0.815,0.824,0.795,0.784,0.804,0.798,0.805,0.776,0.766,0.786,916.715488910675
