+-----------------------------------------------------------------------------+
| Logfile        : gmm-sweepk-ds1.log                                         |
| Job id         : 5087579519                 Class: SLES11SP4&&8C&&32G Qslot: /icf/fdk/pdx_critical_vp/bench11|
| Executed on    : plxcfb015                  Pool : pdx_misc                 |
| Queueing time  : Sat Nov  3 00:36:03 2018                                   |
| Starting time  : Sat Nov  3 00:36:09 2018          Qwait:   0h:00m:06s      |
| Command        : unbuffer python bin/part1.py -s ds1 -a gmm-sweepk          |
+-----------------------------------------------------------------------------+
/nfs/pdx/disks/icf_env_disk001/bjbarcla/gwa/issues/ml/mlai/lib/python3.6/site-packages/sklearn/ensemble/weight_boosting.py:29: DeprecationWarning: numpy.core.umath_tests is an internal NumPy module and should not be imported. It will be removed in a future NumPy release.
  from numpy.core.umath_tests import inner1d
** -> gmm k=2 cov_type=spherical elapsed seconds 1.621246337890625e-05 <- took less than 1 second
** -> sil gmm k=2 cov_type=spherical elapsed seconds 165.03101921081543 <- took 2.0 minutes, 45.0 seconds
Dataset=ds1 k=2 cov_type=spherical sil=0.22034962197656913
** -> gmm k=2 cov_type=diag elapsed seconds 1.811981201171875e-05 <- took less than 1 second
** -> sil gmm k=2 cov_type=diag elapsed seconds 162.6194303035736 <- took 2.0 minutes, 42.0 seconds
Dataset=ds1 k=2 cov_type=diag sil=0.3927314880501823
** -> gmm k=2 cov_type=tied elapsed seconds 1.8358230590820312e-05 <- took less than 1 second
** -> sil gmm k=2 cov_type=tied elapsed seconds 164.9265055656433 <- took 2.0 minutes, 44.0 seconds
Dataset=ds1 k=2 cov_type=tied sil=0.19683381279082743
** -> gmm k=2 cov_type=full elapsed seconds 1.8358230590820312e-05 <- took less than 1 second
** -> sil gmm k=2 cov_type=full elapsed seconds 163.8277611732483 <- took 2.0 minutes, 43.0 seconds
Dataset=ds1 k=2 cov_type=full sil=0.3927314880501823
** -> gmm k=6 cov_type=spherical elapsed seconds 1.9073486328125e-05 <- took less than 1 second
** -> sil gmm k=6 cov_type=spherical elapsed seconds 168.16099214553833 <- took 2.0 minutes, 48.0 seconds
Dataset=ds1 k=6 cov_type=spherical sil=0.23359558659182159
** -> gmm k=6 cov_type=diag elapsed seconds 1.6689300537109375e-05 <- took less than 1 second
** -> sil gmm k=6 cov_type=diag elapsed seconds 169.04733967781067 <- took 2.0 minutes, 49.0 seconds
Dataset=ds1 k=6 cov_type=diag sil=0.3347994561866102
** -> gmm k=6 cov_type=tied elapsed seconds 2.0742416381835938e-05 <- took less than 1 second
** -> sil gmm k=6 cov_type=tied elapsed seconds 169.1468231678009 <- took 2.0 minutes, 49.0 seconds
Dataset=ds1 k=6 cov_type=tied sil=0.3429300139630299
** -> gmm k=6 cov_type=full elapsed seconds 1.811981201171875e-05 <- took less than 1 second
** -> sil gmm k=6 cov_type=full elapsed seconds 168.90990734100342 <- took 2.0 minutes, 48.0 seconds
Dataset=ds1 k=6 cov_type=full sil=0.3359378586912549
** -> gmm k=10 cov_type=spherical elapsed seconds 1.7404556274414062e-05 <- took less than 1 second
** -> sil gmm k=10 cov_type=spherical elapsed seconds 168.38216090202332 <- took 2.0 minutes, 48.0 seconds
Dataset=ds1 k=10 cov_type=spherical sil=0.31819505651227675
** -> gmm k=10 cov_type=diag elapsed seconds 1.811981201171875e-05 <- took less than 1 second
** -> sil gmm k=10 cov_type=diag elapsed seconds 167.4682958126068 <- took 2.0 minutes, 47.0 seconds
Dataset=ds1 k=10 cov_type=diag sil=0.41969536840309396
** -> gmm k=10 cov_type=tied elapsed seconds 1.7404556274414062e-05 <- took less than 1 second
** -> sil gmm k=10 cov_type=tied elapsed seconds 166.87683176994324 <- took 2.0 minutes, 46.0 seconds
Dataset=ds1 k=10 cov_type=tied sil=0.4266702868575215
** -> gmm k=10 cov_type=full elapsed seconds 1.71661376953125e-05 <- took less than 1 second
** -> sil gmm k=10 cov_type=full elapsed seconds 167.92239093780518 <- took 2.0 minutes, 47.0 seconds
Dataset=ds1 k=10 cov_type=full sil=0.42302829394588487
** -> gmm k=14 cov_type=spherical elapsed seconds 1.811981201171875e-05 <- took less than 1 second
** -> sil gmm k=14 cov_type=spherical elapsed seconds 166.67438888549805 <- took 2.0 minutes, 46.0 seconds
Dataset=ds1 k=14 cov_type=spherical sil=0.38435807585594395
** -> gmm k=14 cov_type=diag elapsed seconds 1.621246337890625e-05 <- took less than 1 second
** -> sil gmm k=14 cov_type=diag elapsed seconds 167.46274328231812 <- took 2.0 minutes, 47.0 seconds
Dataset=ds1 k=14 cov_type=diag sil=0.49779523663273534
** -> gmm k=14 cov_type=tied elapsed seconds 1.7642974853515625e-05 <- took less than 1 second
** -> sil gmm k=14 cov_type=tied elapsed seconds 170.57741713523865 <- took 2.0 minutes, 50.0 seconds
Dataset=ds1 k=14 cov_type=tied sil=0.49336055188318745
** -> gmm k=14 cov_type=full elapsed seconds 1.7404556274414062e-05 <- took less than 1 second
** -> sil gmm k=14 cov_type=full elapsed seconds 167.2991087436676 <- took 2.0 minutes, 47.0 seconds
Dataset=ds1 k=14 cov_type=full sil=0.4994901757677702
** -> gmm k=18 cov_type=spherical elapsed seconds 1.9550323486328125e-05 <- took less than 1 second
** -> sil gmm k=18 cov_type=spherical elapsed seconds 166.83834052085876 <- took 2.0 minutes, 46.0 seconds
Dataset=ds1 k=18 cov_type=spherical sil=0.37742936801542365
** -> gmm k=18 cov_type=diag elapsed seconds 1.811981201171875e-05 <- took less than 1 second
** -> sil gmm k=18 cov_type=diag elapsed seconds 168.60389280319214 <- took 2.0 minutes, 48.0 seconds
Dataset=ds1 k=18 cov_type=diag sil=0.568624140061559
** -> gmm k=18 cov_type=tied elapsed seconds 1.9311904907226562e-05 <- took less than 1 second
** -> sil gmm k=18 cov_type=tied elapsed seconds 167.0793161392212 <- took 2.0 minutes, 47.0 seconds
Dataset=ds1 k=18 cov_type=tied sil=0.5646474731376734
** -> gmm k=18 cov_type=full elapsed seconds 1.71661376953125e-05 <- took less than 1 second
** -> sil gmm k=18 cov_type=full elapsed seconds 168.05448603630066 <- took 2.0 minutes, 48.0 seconds
Dataset=ds1 k=18 cov_type=full sil=0.573541148692425
** -> gmm k=22 cov_type=spherical elapsed seconds 1.8835067749023438e-05 <- took less than 1 second
** -> sil gmm k=22 cov_type=spherical elapsed seconds 164.65967512130737 <- took 2.0 minutes, 44.0 seconds
Dataset=ds1 k=22 cov_type=spherical sil=0.44358565717514287
** -> gmm k=22 cov_type=diag elapsed seconds 1.71661376953125e-05 <- took less than 1 second
** -> sil gmm k=22 cov_type=diag elapsed seconds 163.09654355049133 <- took 2.0 minutes, 43.0 seconds
Dataset=ds1 k=22 cov_type=diag sil=0.6234103489545688
** -> gmm k=22 cov_type=tied elapsed seconds 1.6927719116210938e-05 <- took less than 1 second
** -> sil gmm k=22 cov_type=tied elapsed seconds 164.5185990333557 <- took 2.0 minutes, 44.0 seconds
Dataset=ds1 k=22 cov_type=tied sil=0.617565283788303
** -> gmm k=22 cov_type=full elapsed seconds 1.7404556274414062e-05 <- took less than 1 second
** -> sil gmm k=22 cov_type=full elapsed seconds 164.38756704330444 <- took 2.0 minutes, 44.0 seconds
Dataset=ds1 k=22 cov_type=full sil=0.622822347454284
** -> gmm k=26 cov_type=spherical elapsed seconds 1.6927719116210938e-05 <- took less than 1 second
** -> sil gmm k=26 cov_type=spherical elapsed seconds 161.36253547668457 <- took 2.0 minutes, 41.0 seconds
Dataset=ds1 k=26 cov_type=spherical sil=0.44403771865760566
** -> gmm k=26 cov_type=diag elapsed seconds 1.811981201171875e-05 <- took less than 1 second
** -> sil gmm k=26 cov_type=diag elapsed seconds 162.6826615333557 <- took 2.0 minutes, 42.0 seconds
Dataset=ds1 k=26 cov_type=diag sil=0.6547223734288471
** -> gmm k=26 cov_type=tied elapsed seconds 2.5033950805664062e-05 <- took less than 1 second
** -> sil gmm k=26 cov_type=tied elapsed seconds 162.88264966011047 <- took 2.0 minutes, 42.0 seconds
Dataset=ds1 k=26 cov_type=tied sil=0.653636780935479
** -> gmm k=26 cov_type=full elapsed seconds 3.314018249511719e-05 <- took less than 1 second
** -> sil gmm k=26 cov_type=full elapsed seconds 162.92770218849182 <- took 2.0 minutes, 42.0 seconds
Dataset=ds1 k=26 cov_type=full sil=0.6579983344374136
** -> gmm k=30 cov_type=spherical elapsed seconds 1.7404556274414062e-05 <- took less than 1 second
** -> sil gmm k=30 cov_type=spherical elapsed seconds 158.5515651702881 <- took 2.0 minutes, 38.0 seconds
Dataset=ds1 k=30 cov_type=spherical sil=0.43039188404021933
** -> gmm k=30 cov_type=diag elapsed seconds 1.8358230590820312e-05 <- took less than 1 second
** -> sil gmm k=30 cov_type=diag elapsed seconds 161.4267611503601 <- took 2.0 minutes, 41.0 seconds
Dataset=ds1 k=30 cov_type=diag sil=0.6372822716958215
** -> gmm k=30 cov_type=tied elapsed seconds 1.71661376953125e-05 <- took less than 1 second
** -> sil gmm k=30 cov_type=tied elapsed seconds 160.58127760887146 <- took 2.0 minutes, 40.0 seconds
Dataset=ds1 k=30 cov_type=tied sil=0.6666629600239672
** -> gmm k=30 cov_type=full elapsed seconds 1.8835067749023438e-05 <- took less than 1 second
** -> sil gmm k=30 cov_type=full elapsed seconds 163.76576709747314 <- took 2.0 minutes, 43.0 seconds
Dataset=ds1 k=30 cov_type=full sil=0.6419739622280706
** -> gmm k=34 cov_type=spherical elapsed seconds 1.8358230590820312e-05 <- took less than 1 second
** -> sil gmm k=34 cov_type=spherical elapsed seconds 158.34034395217896 <- took 2.0 minutes, 38.0 seconds
Dataset=ds1 k=34 cov_type=spherical sil=0.43344860900357407
** -> gmm k=34 cov_type=diag elapsed seconds 1.71661376953125e-05 <- took less than 1 second
** -> sil gmm k=34 cov_type=diag elapsed seconds 159.8293216228485 <- took 2.0 minutes, 39.0 seconds
Dataset=ds1 k=34 cov_type=diag sil=0.6484320679084712
** -> gmm k=34 cov_type=tied elapsed seconds 1.7881393432617188e-05 <- took less than 1 second
** -> sil gmm k=34 cov_type=tied elapsed seconds 159.77337551116943 <- took 2.0 minutes, 39.0 seconds
Dataset=ds1 k=34 cov_type=tied sil=0.6666768077822545
